年月日,最高気温(℃),品質情報,土地
2019/3/18,14.5,8,tokyo
2019/3/19,19.2,8,tokyo
2019/3/20,21.5,8,tokyo
2019/3/21,22.3,8,tokyo
2019/3/22,23.9,8,tokyo
2019/3/23,9.0,8,tokyo
2019/3/24,15.4,8,tokyo
2019/3/25,15.0,8,tokyo
2019/3/26,15.9,8,tokyo
2019/3/27,19.7,8,tokyo
2019/3/28,16.9,8,tokyo
2019/3/29,9.3,8,tokyo
2019/3/30,11.7,8,tokyo
2019/3/31,16.3,8,tokyo
2019/4/1,16.2,8,tokyo
2019/4/2,13.1,8,tokyo
2019/4/3,14.1,8,tokyo
2019/4/4,16.7,8,tokyo
2019/4/5,22.5,8,tokyo
2019/4/6,21.6,8,tokyo
2019/4/7,21.6,8,tokyo
2019/4/8,14.8,8,tokyo
2019/4/9,16.9,8,tokyo
2019/4/10,10.2,8,tokyo
2019/4/11,16.7,8,tokyo
2019/4/12,12.6,8,tokyo
2019/4/13,18.2,8,tokyo
2019/4/14,18.3,8,tokyo
2019/4/15,22.7,8,tokyo
2019/4/16,21.0,8,tokyo
2019/4/17,19.5,8,tokyo
2019/4/18,23.5,8,tokyo
2019/4/19,23.6,8,tokyo
2019/4/20,19.1,8,tokyo
2019/4/21,23.1,8,tokyo
2019/4/22,25.6,8,tokyo
2019/4/23,23.3,8,tokyo
2019/4/24,20.6,8,tokyo
2019/4/25,24.3,8,tokyo
2019/4/26,20.0,8,tokyo
2019/4/27,13.2,8,tokyo
2019/4/28,18.7,8,tokyo
2019/4/29,19.8,8,tokyo
2019/4/30,17.4,8,tokyo
2019/5/1,23.4,8,tokyo
2019/5/2,23.9,8,tokyo
2019/5/3,25.0,8,tokyo
2019/5/4,24.8,8,tokyo
2019/5/5,25.2,8,tokyo
2019/5/6,22.1,8,tokyo
2019/5/7,20.9,8,tokyo
2019/5/8,22.7,8,tokyo
2019/5/9,22.7,8,tokyo
2019/5/10,27.1,8,tokyo
2019/5/11,27.8,8,tokyo
2019/5/12,22.2,8,tokyo
2019/5/13,22.6,5,tokyo
2019/5/14,19.3,8,tokyo
2019/5/15,23.8,8,tokyo
2019/5/16,24.6,8,tokyo
2019/5/17,25.9,8,tokyo
2019/5/18,25.6,8,tokyo
2019/5/19,25.2,8,tokyo
2019/5/20,25.0,8,tokyo
2019/5/21,21.9,8,tokyo
2019/5/22,25.2,8,tokyo
2019/5/23,27.0,8,tokyo
2019/5/24,31.0,8,tokyo
2019/5/25,31.9,8,tokyo
2019/5/26,32.6,8,tokyo
2019/5/27,32.4,8,tokyo
2019/5/28,28.1,8,tokyo
2019/5/29,25.1,8,tokyo
2019/5/30,26.0,8,tokyo
2019/5/31,24.2,8,tokyo
2019/6/1,25.7,8,tokyo
2019/6/2,25.0,8,tokyo
2019/6/3,27.0,8,tokyo
2019/6/4,27.7,8,tokyo
2019/6/5,25.8,8,tokyo
2019/6/6,32.3,8,tokyo
2019/6/7,23.4,8,tokyo
2019/6/8,25.4,8,tokyo
2019/6/9,20.7,8,tokyo
2019/6/10,17.4,8,tokyo
2019/6/11,23.6,8,tokyo
2019/6/12,21.5,8,tokyo
2019/6/13,26.4,8,tokyo
2019/6/14,26.8,8,tokyo
2019/6/15,20.9,8,tokyo
2019/6/16,30.7,8,tokyo
2019/6/17,28.7,8,tokyo
2019/6/18,27.7,8,tokyo
2019/6/19,28.6,8,tokyo
2019/6/20,29.1,8,tokyo
2019/6/21,29.5,8,tokyo
2019/6/22,25.3,8,tokyo
2019/6/23,24.0,8,tokyo
2019/6/24,21.0,8,tokyo
2019/6/25,27.3,8,tokyo
2019/6/26,28.9,8,tokyo
2019/6/27,28.7,8,tokyo
2019/6/28,30.7,8,tokyo
2019/6/29,21.5,8,tokyo
2019/6/30,23.6,8,tokyo
2019/7/1,24.3,8,tokyo
2019/7/2,28.1,8,tokyo
2019/7/3,29.1,8,tokyo
2019/7/4,25.2,8,tokyo
2019/7/5,24.5,8,tokyo
2019/7/6,23.7,8,tokyo
2019/7/7,20.8,8,tokyo
2019/7/8,24.8,8,tokyo
2019/7/9,21.8,8,tokyo
2019/7/10,24.8,8,tokyo
2019/7/11,23.6,8,tokyo
2019/7/12,21.9,8,tokyo
2019/7/13,27.3,8,tokyo
2019/7/14,22.5,8,tokyo
